Code,Name,Date,Type,ID,Status,Broker,Prev,On,Off,Balance,,,,
AKK,Austin Exploration Ltd,10/10/2014,Sold,0140215544544500,,Commsec,600000,,250000,350000,,,,
AJX,Alexium International Group Ltd,17/11/2014,Bought,0140215596637800,,Commsec,,18000,,18000,,,,
AJX,Alexium International Group Ltd,25/11/2014,Sold,0140215606474700,,Commsec,18000,,18000,0,,,,
AKK,Austin Exploration Ltd,14/11/2014,Consolidation - 10:1,6066400001743200,,Commsec,350000,,315000,35000,,,,
AJX,Alexium International Group Ltd,3/12/2014,Bought,0638101027958600,,Netwealth,,13000,,13000,,,,
AJX,Alexium International Group Ltd,5/12/2014,Sold,0638101029891200,,Netwealth,13000,,1000,12000,,,,
AJX,Alexium International Group Ltd,8/12/2014,Sold,0638101031215500,,Netwealth,12000,,12000,0,,,,
MGX,Mount Gibson Iron Ltd,18/12/2014,Bought,0638101043080600,,Netwealth,,24000,,24000,,,,
NAB,National Australia Bank,16/12/2014,DRP,6025400435090300,,Netwealth,180,5,,185,,,,
WHN,WHL Energy Limited,4/12/2014,Consolidation - 10:1,6201102979275300,,Netwealth,290000,,261000,29000,,,,
AMN,Agrimin Ltd,17/12/2014,Security Code Change,001294Z0DEC4E700,from: GRM,Commsec,,20000,,20000,,,,
GRM,Global Resources Corporation Ltd,17/12/2014,Security Code Change,001294Z0DEC4E700,to: AMN,Commsec,20000,,20000,0,,,,
DKM,Duketon Mining Ltd,3/12/2014,Bought,0140215620065700,,Commsec,,10000,,10000,,,,
DKM,Duketon Mining Ltd,3/12/2014,Sold,0140215621281500,,Commsec,10000,,10000,0,,,,
DVI,Disruptive Investment Group Ltd,28/01/2015,Bought,0140215693515100,,Commsec,,270000,,270000,,,,
MGX,Mount Gibson Iron Ltd,13/01/2015,Sold,0638101056109500,,Netwealth,24000,,3000,21000,,,,
MGX,Mount Gibson Iron Ltd,15/01/2015,Sold,0638101057864600,,Netwealth,21000,,21000,0,,,,
PRR,Prima Biomed Ltd,27/01/2015,Bought,0638101064938600,,Netwealth,,140000,,140000,,,,
CL8O,Collaborate Corporation Ltd,16/01/2015,Bought,0638101058956000,,Netwealth,,550000,,550000,,,,
CL8O,Collaborate Corporation Ltd,23/01/2015,Sold,0638101063532800,,Netwealth,550000,,550000,0,,,,
CNNO,Cardia Bioplastics Ltd,5/01/2015,Adjustment - Option Expiry?,6137400131971000,,Netwealth,62500,,62500,0,,,,
MRFO,MRL Corporation Ltd,2/01/2015,Option Lapsed,6238500000122400,,Netwealth,12500,,12500,0,,,,
AKK,Austin Exploration Ltd,14/11/2014,Consolidation - 10:1,6066400001629800,,Netwealth,904828,,814345,90483,,,,
SHP,Shoply Ltd,28/11/2014,Sold,0638101023355000,,Netwealth,270000,,270000,0,,,,
RMG,RMG Ltd,15/09/2014,Consolidation - 33:1,5934300000873500,,Netwealth,151667,,147072,4595,,,,
AHZ,Admedus Ltd,18/09/2014,Bought,0140215513161700,,Commsec,,6251,,6251,,,,
AHZ,Admedus Ltd,19/09/2014,Bought,0140215515193400,,Commsec,6251,30749,,37000,,,,
AKK,Austin Exploration Ltd,3/09/2014,Bought,0140215490352600,,Commsec,350000,167366,,517366,,,,
AKK,Austin Exploration Ltd,5/09/2014,Bought,0140215495380800,,Commsec,517366,82634,,600000,,,,
MTA,Metals of Africa,3/09/2014,Bought,0140215490764500,,Commsec,,29000,,29000,,,,
MTA,Metals of Africa,4/09/2014,Sold,0140215492005500,,Commsec,29000,,29000,0,,,,
RMG,RMG Ltd,15/09/2014,Consolidation - 33:1,5934300000900700,,Commsec,443334,,429900,13434,,,,
NAB,National Australia Bank,19/12/2011,DRP,6025400341129900,,Netwealth,153,6,,159,,,,
ABU,ABM Resources NL,5/12/2011,Bought,0140214286228200,,Commsec,,65000,,65000,,,,
ADO,anteo diagnostics,1/12/2011,Sold,0140214281611500,,Commsec,138000,,80000,58000,,,,
