Confirmation Number, Order Number, Trade Date, Buy / Sell, Stock Code, Units, Average Price, Brokerage, Net Proceeds, Settlement Date, Contract Status
26542297,Unk-26542297,02/08/2007,B,APG,86000,.115000,29.950000,9919.950000,08/08/2007,Confirmed
26541540,Unk-26541540,02/08/2007,B,RMI,95000,.105000,29.950000,10004.950000,08/08/2007,Confirmed
26538078,Unk-26538078,02/08/2007,B,CUL,66000,.150000,29.950000,9929.950000,08/08/2007,Confirmed
26537748,Unk-26537748,02/08/2007,B,BLR,54000,.185000,29.950000,10019.950000,08/08/2007,Confirmed
26537540,Unk-26537540,02/08/2007,B,AEX,240000,.039000,29.950000,9389.950000,08/08/2007,Confirmed
26523358,Unk-26523358,01/08/2007,S,AEX,238000,.039000,29.950000,9252.050000,07/08/2007,Confirmed
26519905,Unk-26519905,01/08/2007,S,BLR,93000,.190000,54.770000,17615.230000,07/08/2007,Confirmed
26505945,Unk-26505945,01/08/2007,S,MLSOA,160000,.055025,29.950000,8774.100000,07/08/2007,Confirmed
26503814,Unk-26503814,01/08/2007,S,APG,83000,.115000,29.950000,9515.050000,07/08/2007,Confirmed
26501843,Unk-26501843,01/08/2007,S,WGP,60000,.155000,29.950000,9270.050000,07/08/2007,Confirmed
26501763,Unk-26501763,01/08/2007,S,RMI,204000,.100000,63.240000,20336.760000,07/08/2007,Confirmed
26456450,Unk-26456450,30/07/2007,B,APG,83000,.120000,29.950000,9989.950000,02/08/2007,Confirmed
26449481,Unk-26449481,30/07/2007,B,BLR,49000,.200000,29.950000,9829.950000,02/08/2007,Confirmed
26448426,Unk-26448426,30/07/2007,S,WMT,43000,.230000,29.950000,9860.050000,02/08/2007,Confirmed
26428208,Unk-26428208,27/07/2007,B,WMT,43000,.230000,29.950000,9919.950000,01/08/2007,Confirmed
26416802,Unk-26416802,27/07/2007,S,CUL,114000,.175000,61.840000,19888.160000,01/08/2007,Confirmed
26416757,Unk-26416757,27/07/2007,S,MLS,116000,.089000,32.000000,10292.000000,01/08/2007,Confirmed
26409087,Unk-26409087,27/07/2007,B,RMI,74000,.135000,29.950000,10019.950000,01/08/2007,Confirmed
26405678,Unk-26405678,27/07/2007,B,CUL,60000,.165000,29.950000,9929.950000,01/08/2007,Confirmed
